date,open,high,close,low,volume,price_change,p_change
2016-01-11,2188.188,2230.423,2106.358,2105.771,15208927.0,-142.632,-6.34
2016-01-08,2297.592,2318.123,2248.99,2142.326,16502294.0,-7.534,-0.33
2016-01-07,2415.329,2415.329,2256.524,2254.496,3875525.5,-211.842,-8.58
2016-01-06,2433.358,2472.19,2468.366,2388.69,14194459.0,51.641,2.14
2016-01-05,2353.233,2481.202,2416.725,2333.608,18289330.0,-74.515,-2.99
2016-01-04,2706.275,2710.299,2491.24,2490.469,12240174.0,-222.808,-8.21
2015-12-31,2780.539,2785.656,2714.048,2713.689,12958632.0,-65.465,-2.35
2015-12-30,2758.25,2781.84,2779.513,2749.289,13512855.0,29.691,1.08
2015-12-29,2732.554,2749.822,2749.822,2710.199,12769370.0,14.337,0.52
2015-12-28,2809.519,2823.748,2735.485,2735.485,15497676.0,-59.245,-2.12
2015-12-25,2807.514,2820.532,2794.73,2777.457,12162059.0,-1.05,-0.04
2015-12-24,2775.984,2801.565,2795.78,2735.969,13241042.0,11.838,0.42
2015-12-23,2845.434,2848.829,2783.942,2779.926,16247176.0,-55.91,-1.97
2015-12-22,2836.957,2849.36,2839.852,2811.606,13134517.0,9.931,0.35
2015-12-21,2825.315,2836.608,2829.921,2800.349,14937293.0,-0.338,-0.01
2015-12-18,2836.916,2850.693,2830.259,2801.635,17824894.0,-5.442,-0.19
2015-12-17,2784.97,2835.701,2835.701,2784.97,20055960.0,72.587,2.63
2015-12-16,2760.256,2789.276,2763.114,2749.795,15083848.0,17.414,0.63
2015-12-15,2718.251,2764.795,2745.7,2718.251,14459221.0,36.435,1.34
2015-12-14,2642.817,2709.265,2709.265,2622.473,13383007.0,37.973,1.42
2015-12-11,2686.305,2701.686,2671.292,2666.887,13643433.0,-24.215,-0.9
2015-12-10,2665.275,2729.238,2695.507,2663.374,16327733.0,27.595,1.03
2015-12-09,2677.587,2699.636,2667.912,2650.445,16154545.0,-23.746,-0.88
2015-12-08,2723.619,2731.715,2691.658,2678.661,18705172.0,-46.491,-1.7
2015-12-07,2699.337,2751.239,2738.149,2687.022,16420046.0,45.988,1.71
2015-12-04,2702.563,2749.179,2692.161,2679.351,17844634.0,-15.962,-0.59
2015-12-03,2622.486,2710.807,2708.123,2622.486,17065282.0,94.86,3.63
2015-12-02,2653.237,2660.115,2613.263,2525.342,15900286.0,-42.082,-1.58
2015-12-01,2669.302,2700.346,2655.345,2621.167,17104022.0,-17.236,-0.65
2015-11-30,2658.972,2687.047,2672.581,2507.381,22206196.0,23.031,0.87
2015-11-27,2819.364,2844.053,2649.55,2629.125,24403852.0,-183.648,-6.48
2015-11-26,2911.853,2915.95,2833.198,2831.381,23759484.0,-64.371,-2.22
2015-11-25,2813.51,2906.796,2897.569,2806.819,24705878.0,81.521,2.9
2015-11-24,2767.723,2816.048,2816.048,2739.517,19467264.0,45.471,1.64
2015-11-23,2797.122,2839.843,2770.577,2759.306,25839668.0,-29.573,-1.06
2015-11-20,2783.036,2817.961,2800.15,2757.839,28888696.0,29.398,1.06
